id,words
862,"Animation, Comedy, Family, jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life"
8844,"Adventure, Fantasy, Family, board game, disappearance, based on children's book, new home, recluse, giant insect"
15602,"Romance, Comedy, fishing, best friend, duringcreditsstinger, old men"
31357,"Comedy, Drama, Romance, based on novel, interracial relationship, single mother, divorce, chick flick"
11862,"Comedy, baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist"
949,"Action, Crime, Drama, Thriller, robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic"
11860,"Comedy, Romance, paris, brother brother relationship, chauffeur, long island, fusion, millionaire"
45325,"Action, Adventure, Drama, Family"
9091,"Action, Adventure, Thriller, terrorist, hostage, explosive, vice president"
710,"Adventure, Action, Thriller, cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army"
9087,"Comedy, Drama, Romance, white house, usa president, new love, widower, wildlife conservation"
12110,"Comedy, Horror, dracula, spoof"
21032,"Family, Animation, Adventure, wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake"
10858,"History, Drama, usa president, presidential election, watergate scandal, biography, government, historical figure"
1408,"Action, Adventure, exotic island, treasure, map, ship, scalp, pirate"
524,"Drama, Crime, poker, drug abuse, 1970s, overdose, illegal prostitution"
4584,"Drama, Romance, bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum"
5,"Crime, Comedy, hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film"
9273,"Crime, Comedy, Adventure, africa, indigenous, human animal relationship, bat"
11517,"Action, Comedy, Crime, brother brother relationship, subway, new york city, new york subway, train robbery"
8012,"Comedy, Thriller, Crime, gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con"
1710,"Drama, Thriller, police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness"
9691,"Action, Adventure, Crime, Thriller, competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan"
12665,"Drama, Fantasy, Science Fiction, Thriller, dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception"
451,"Drama, Romance, individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide"
16420,"Drama, shakespeare, jealousy, friends, moor"
